artista,eventos,dia,mes,año,precios,enlaces
Concierto Sinfónico de Abono B16 (Jueves),1 Evento,21,3,2024,"desde 15,00 €",https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-b16-jueves-3479308/
Concierto Sinfónico de Abono A13 (Jueves),1 Evento,22,2,2024,"desde 15,00 €",https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-a13-jueves-3479302/
Concierto Sinfónico de Abono A15 (Jueves),1 Evento,14,3,2024,"desde 15,00 €",https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-a15-jueves-3479306/
Concierto Sinfónico de Abono A15 (Viernes),1 Evento,15,3,2024,"desde 15,00 €",https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-a15-viernes-3479307/
Concierto Sinfónico de Abono B12 (Viernes),1 Evento,16,2,2024,"desde 15,00 €",https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-b12-viernes-3479301/
Concierto Sinfónico de Abono A19 (Viernes),1 Evento,26,4,2024,"desde 15,00 €",https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-a19-viernes-3479315/
Concierto Sinfónico de Abono A7 (Viernes),1 Evento,24,11,2023,"desde 15,00 €",https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-a7-viernes-3479291/
Concierto Sinfónico de Abono B10 (Viernes),1 Evento,26,1,2024,"desde 15,00 €",https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-b10-viernes-3479297/
Concierto Sinfónico de Abono B14 (Jueves),1 Evento,29,2,2024,"desde 15,00 €",https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-b14-jueves-3479304/
Concierto Sinfónico de Abono B10 (Viernes),1 Evento,26,1,2024,"desde 15,00 €",https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-b10-viernes-3479297/
Concierto Sinfónico de Abono A11 (Viernes),1 Evento,9,2,2024,"desde 15,00 €",https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-a11-viernes-3479299/
Concierto Sinfónico de Abono B6 (Viernes),1 Evento,10,11,2023,"desde 15,00 €",https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-b6-viernes-3479289/
Concierto Sinfónico de Abono A9 (Jueves),1 Evento,18,1,2024,"desde 15,00 €",https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-a9-jueves-3479294/
Concierto Sinfónico de Abono B8 (Jueves),1 Evento,11,1,2024,"desde 15,00 €",https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-b8-jueves-3479292/
Concierto Sinfónico de Abono B8 (Viernes),1 Evento,12,1,2024,"desde 15,00 €",https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-b8-viernes-3479293/
Concierto Sinfónico de Abono A17 (Viernes),1 Evento,12,4,2024,"desde 15,00 €",https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-a17-viernes-3479311/
Concierto Sinfónico de Abono A7 (Jueves),1 Evento,23,11,2023,"desde 15,00 €",https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-a7-jueves-3479290/
CONCIERTO DE GALARDONADOS EL CONCURSO JUVENTUDES MUSICALES,1 Evento,17,5,2024,"desde 15,00 €",https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-de-galardonados-el-concurso-juventudes-musicales-3491494/
JÓVENES MÚSICOS I,1 Evento,17,11,2023,"desde 15,00 €",https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/jovenes-musicos-i-3491507/
JÓVENES MÚSICOS III,1 Evento,5,4,2024,"desde 15,00 €",https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/jovenes-musicos-iii-3491493/
Ensayos Ciclo Sinfónico,15 eventos,10,11,2023,"desde 3,00 €",https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/ensayos-ciclo-sinfonico-3491491/
Ensayos Ciclo Sinfónico,15 eventos,9,5,2024,"desde 3,00 €",https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/ensayos-ciclo-sinfonico-3491491/
Concierto Sinfónico de Abono A17 (Jueves),1 Evento,11,4,2024,"desde 15,00 €",https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-a17-jueves-3479310/
Concierto Sinfónico de Abono A11 (Jueves),1 Evento,8,2,2024,"desde 15,00 €",https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-a11-jueves-3479298/
Concierto Sinfónico de Abono B20 (Viernes),1 Evento,10,5,2024,"desde 15,00 €",https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-b20-viernes-3479317/
